,sample_id,# MS2 peaks,# MS3 peaks,# MS4 peaks,# MS5 peaks,Parent m/z,MA (lower est.),MA (upper est.),MA (mean est.),MA (est.),MA (MW est.),formula,MW,CAS,SMILES,Dataset,MA,Error
0,150523/CAS_100442_33_9,26,29,106,0,298.2165,14.51612707,22.89906621,17.37483165,"[17.47908389 14.96996731 17.13054932 17.33412669 14.51612707 17.88399337
 18.18164386 22.89906621 15.83711466 15.47815602 18.50782934 15.56584827
 16.89111369 16.44718779 19.48884975 16.91367245 19.67080231 15.16883293
 19.40066135 17.73200679]",20.96655382,C20H27NO,297.44,100442-33-9,CN(CCC(c1ccccc1)c1ccccc1)CC(C)(C)O,Alasdair,12,5.374831653
1,150523/CAS_1306606_88_1,45,129,113,0,305.0565,13.0157065,22.14654138,18.32489989,"[18.78917388 18.87812938 19.62279599 18.95345706 13.0157065  22.14654138
 19.80516772 21.53087595 20.12723883 15.09827561 15.34033002 16.76433589
 17.33035851 16.36720767 17.67580361 18.00508514 17.63128267 19.32794563
 21.23954577 18.84874054]",20.57847254,C12H11F3N2O2S,304.29,1306606-88-1,CCc1ccc2nc(NC(=O)OCC(F)(F)F)sc2c1,Alasdair,18,0.324899888
2,150523/CAS_1306606_88_1,45,129,113,0,305.0565,13.0157065,22.14654138,18.32489989,"[18.78917388 18.87812938 19.62279599 18.95345706 13.0157065  22.14654138
 19.80516772 21.53087595 20.12723883 15.09827561 15.34033002 16.76433589
 17.33035851 16.36720767 17.67580361 18.00508514 17.63128267 19.32794563
 21.23954577 18.84874054]",20.57847254,C12H11F3N2O2S,304.29,1306606-88-1,CCc1ccc2nc(NC(=O)OCC(F)(F)F)sc2c1,Alasdair,18,0.324899888
3,150523/CAS_13139_14_5,27,108,106,0,305.1495,12.04120461,24.72144358,18.32322518,"[16.35932194 15.93120897 15.11849972 24.72144358 18.69842627 20.9680271
 20.48406675 18.07047449 20.47645709 18.83904741 15.50855528 21.20565504
 16.41253981 12.04120461 17.85288395 17.95432834 21.56644614 16.71717013
 18.97321043 18.5655365 ]",21.4708507,C16H20N2O4,304.34,13139-14-5,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Alasdair,15,3.323225178
4,150523/CAS_146_77_0,13,37,37,0,302.065,14.43347539,23.90306082,19.02792005,"[19.1896747  22.31284487 18.57215271 18.44766621 14.43347539 17.61919899
 18.13490021 18.97083108 17.10385041 18.66717801 19.44201988 21.18106491
 23.90306082 21.36642485 22.45904967 18.33026807 20.62936857 15.49985062
 18.3079982  15.98752287]",21.98128887,C10H12ClN5O4,301.69,146-77-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alasdair,14,5.027920051
5,150523/CAS_146_77_0,13,37,37,0,302.065,14.43347539,23.90306082,19.02792005,"[19.1896747  22.31284487 18.57215271 18.44766621 14.43347539 17.61919899
 18.13490021 18.97083108 17.10385041 18.66717801 19.44201988 21.18106491
 23.90306082 21.36642485 22.45904967 18.33026807 20.62936857 15.49985062
 18.3079982  15.98752287]",21.98128887,C10H12ClN5O4,301.69,146-77-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alasdair,14,5.027920051
6,150523/CAS_147_58_0,14,40,47,0,305.9621,7.281966613,14.45456998,11.40057861,"[ 9.70347049 14.34020914 10.95280071 12.8571241  13.14311072  9.5433758
 10.14172282 10.50969611  7.28196661  9.75904607 11.76986175 12.52024448
 11.3528301  12.21353868 10.41097137 14.45456998 10.59087335 12.40589581
 12.02719646 12.03306755]",20.79995674,IC6H4CONHCH2CO2H,305.07,147-58-0,O=C(O)CNC(=O)c1ccccc1I,Alasdair,10,1.400578606
7,150523/CAS_17635_44_8,11,32,25,0,302.7762,4.712696841,8.45061962,6.46199071,"[7.67636852 6.02589385 6.84092597 4.94517552 8.45061962 7.03161086
 6.72965343 6.5929888  6.36504998 4.71269684 7.03487265 5.63939754
 5.71819146 7.08666507 7.03978243 6.81489313 6.13399177 8.00107207
 5.07268087 5.32728383]",19.83064246,C3HBr3N2,304.767,17635-44-8,Brc1n[nH]c(Br)c1Br,Alasdair,7,0.53800929
8,150523/CAS_17635_44_8,11,32,25,0,302.7762,4.712696841,8.45061962,6.46199071,"[7.67636852 6.02589385 6.84092597 4.94517552 8.45061962 7.03161086
 6.72965343 6.5929888  6.36504998 4.71269684 7.03487265 5.63939754
 5.71819146 7.08666507 7.03978243 6.81489313 6.13399177 8.00107207
 5.07268087 5.32728383]",19.83064246,C3HBr3N2,304.767,17635-44-8,Brc1n[nH]c(Br)c1Br,Alasdair,7,0.53800929
9,150523/CAS_179334_20_4,7,15,15,0,304.9953,12.10948202,17.52791136,15.08325916,"[13.57852725 17.16027857 13.2151215  13.79982077 14.12002307 16.19551852
 14.67034514 15.30592625 14.95697549 15.55355029 14.95709603 15.4443537
 17.52791136 16.66601249 15.43010267 12.98414142 14.66210012 16.44409844
 12.10948202 16.88379807]",20.82627383,C10H13BrN2O2S,305.19,179334-20-4,O=S(=O)(c1ccc(Br)cc1)N1CCNCC1,Alasdair,12,3.08325916
10,150523/CAS_250714_51_3,10,57,33,0,252.0298,10.81081182,19.49058154,14.90223981,"[13.03559676 14.12907913 15.5660805  16.15739479 10.81081182 15.43182227
 15.85826854 12.09112476 13.03765556 14.01333772 15.58541254 14.30705915
 15.65938728 15.27635143 18.17669149 11.90561383 15.90700337 19.49058154
 15.91738464 15.68813903]",17.3606409,C10H10F3NO4S,397.25,250714-51-3,CC(NS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)O,Alasdair,16,1.097760192
11,150523/CAS_252577_86_9,33,149,73,0,303.1814,11.28009705,19.91642083,15.68606423,"[14.10150551 14.37585116 13.32472923 15.78222291 17.74379966 18.63036433
 18.63876321 19.91642083 11.28009705 15.31764698 17.48944434 13.43245688
 14.90896307 14.35913721 17.4722836  18.15612501 14.27394644 16.78273551
 15.80327773 11.93151388]",21.95172088,C16H22N4O2,302.37,252577-86-9,CC(C)(C)OC(=O)NC1CCN(c2ccc(C#N)cn2)CC1,Alasdair,17,1.313935773
12,150523/CAS_29632_73_3,22,91,35,0,297.8721,4.738763125,8.866260616,6.675147502,"[7.36132432 7.35925583 7.57730227 8.09752533 6.51456277 6.92476638
 4.94753909 6.34899184 5.65257436 4.73876312 7.74692502 7.06721782
 8.86626062 5.35912242 6.99411044 6.54694227 6.23093902 8.0128704
 5.22847295 5.92748375]",20.41292006,C6H5BrIN,297.9,29632-73-3,Nc1ccc(I)cc1Br,Alasdair,6,0.675147502
13,150523/CAS_328028_19_9,35,83,233,0,303.0757,13.34169585,22.69047421,18.96469175,"[19.02651906 21.49531849 20.33927392 17.00865818 21.14209024 19.22346749
 22.17125072 14.34736849 20.55424123 13.34169585 18.50498197 16.62801749
 22.69047421 20.36520173 19.97135045 21.42005578 17.3271276  16.68325844
 21.03493871 16.01854496]",20.66585345,C10H14N4O5S,302.3,328028-19-9,NNc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],Alasdair,15,3.964691749
14,150523/CAS_328028_19_9,35,83,233,0,303.0757,13.34169585,22.69047421,18.96469175,"[19.02651906 21.49531849 20.33927392 17.00865818 21.14209024 19.22346749
 22.17125072 14.34736849 20.55424123 13.34169585 18.50498197 16.62801749
 22.69047421 20.36520173 19.97135045 21.42005578 17.3271276  16.68325844
 21.03493871 16.01854496]",20.66585345,C10H14N4O5S,302.3,328028-19-9,NNc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],Alasdair,15,3.964691749
15,150523/CAS_330786_24_8,121,290,454,0,304.1192,10.69705342,17.13828096,13.8633613,"[10.69705342 14.03802661 11.74173457 16.26575228 15.40258766 16.54683597
 13.00013639 13.42871699 12.99368086 13.94623373 11.78656117 13.43329351
 13.26002221 10.87715729 15.21982734 15.84322184 13.58933163 17.13828096
 14.27128987 13.7874816 ]",20.4100317,C17H13N5O,303.32,330786-24-8,Nc1ncnc2n[nH]c(-c3ccc(Oc4ccccc4)cc3)c12,Alasdair,13,0.863361295
16,150523/CAS_3479_85_4,27,46,153,0,302.8861,11.1752109,17.10821026,15.06776798,"[13.81793192 16.02698121 14.65061766 16.6515969  15.18394453 14.6125417
 12.79244391 16.97931368 15.44701352 15.21732575 13.37873055 17.10821026
 11.1752109  15.42539348 13.79979993 15.64645006 16.70321085 15.79435745
 13.84143389 17.10285152]",20.48769998,C6H8Br2O4,303.93,3479-85-4,O=C(O)C(Br)CCC(Br)C(=O)O,Alasdair,7,8.067767983
17,150523/CAS_364794_79_6,27,109,150,0,304.208,14.58481159,19.44153802,17.29471088,"[18.520569   19.07361555 19.44153802 17.96269256 15.79291155 17.26216836
 18.22791302 17.18817537 16.09905851 15.7446895  16.78934605 17.37563883
 17.34975311 16.9959016  17.62337283 17.04533912 14.58481159 15.37873383
 19.21525951 18.22272961]",20.1435048,C17H26BNO3,303.2,364794-79-6,CC1(C)OB(c2ccc(CN3CCOCC3)cc2)OC1(C)C,Alasdair,15,2.294710876
18,150523/CAS_381233_96_1,13,31,20,0,298.8674,4.531076293,9.563156534,7.379998898,"[9.14598121 8.58969213 5.85688138 8.45598294 5.78319654 5.49699787
 9.56315653 6.5792917  7.4327329  6.80293237 8.50752342 6.21555343
 6.58053286 8.00304733 7.61312216 4.53107629 8.57504223 7.30761008
 8.95638819 7.60323639]",19.4078666,C5H4BrIN2,297.91,381233-96-1,Nc1ncc(Br)cc1I,Alasdair,7,0.379998898
