name,class,subsitute,smi
"1,1,2,2-Tetrachloroethane",Alkane,Chloro,C(C(Cl)Cl)(Cl)Cl
"1,2-Dichloroethane",Alkane,Chloro,C(CCl)Cl
"1,3-Dichloropropane",Alkane,Chloro,C(CCl)CCl
1-Fluoropentane,Alkane,Fluoro,CCCCCF
Chloroform-d,Alkane,Chloro,[2H]C(Cl)(Cl)Cl
Dichloromethane,Alkane,Chloro,C(Cl)Cl
EMS,Alkane,Sulfone,CCS(=O)(=O)C
EiBS,Alkane,Sulfone,CCS(=O)(=O)CC(C)C
EiPS,Alkane,Sulfone,CCS(=O)(=O)C(C)C
iPiBS,Alkane,Sulfone,CC(C)CS(=O)(=O)C(C)C
iPsBS,Alkane,Sulfone,CCC(C)S(=O)(=O)C(C)C
EVS,Alkene,Sulfone,CCS(=O)(=O)C=C
"1,2,3-Trifluorobenzene (123-FB)",Arene,Fluoro,C1=CC(=C(C(=C1)F)F)F
"1,2,4-Trifluorobenzene",Arene,Fluoro,C1=CC(=C(C=C1F)F)F
"1,2-Difluorobenzene",Arene,Fluoro,C1=CC=C(C(=C1)F)F
"1,3-Difluorobenzene",Arene,Fluoro,C1=CC(=CC(=C1)F)F
"1,4-Difluorobenzene",Arene,Fluoro,C1=CC(=CC=C1F)F
FS,Arene,"Fluoro, Sulfone",CS(=O)(=O)C1=CC=CC=C1F
Fluorobenzene,Arene,Fluoro,C1=CC=C(C=C1)F
Methyl phenyl sulfone,Arene,Sulfone,CS(=O)(=O)C1=CC=CC=C1
Diethyl carbonate,Carbonate ester,,CCOC(=O)OCC
Dimethyl carbonate,Carbonate ester,,COC(=O)OC
"2,2,2-trifluoroethyl methyl carbonate",Carbonate ester,Fluoro,COC(=O)OCC(F)(F)F
"2,2,2-trifluoroethyl trifluoromethyl carbonate",Carbonate ester,Fluoro,C(C(F)(F)F)OC(=O)OC(F)(F)F
"2,2,2-trifluoromethyl ethyl carbonate",Carbonate ester,Fluoro,CCOC(=O)OC(F)(F)F
"bis(2,2,2-trifluoroethyl) carbonate",Carbonate ester,Fluoro,C(C(F)(F)F)OC(=O)OCC(F)(F)F
